hc,hu,rho
-1.0,-0.7,0.0011513194263379663
-0.962962962962963,-0.7,0.00033933074557474137
-0.9259259259259259,-0.7,-0.018195838635016393
-0.8888888888888888,-0.7,-0.00980447878546216
-0.8518518518518519,-0.7,-0.010439231639520485
-0.8148148148148149,-0.7,-0.010354666816035075
-0.7777777777777778,-0.7,0.020792141058019315
-0.7407407407407407,-0.7,-0.01688737697444522
-0.7037037037037037,-0.7,-0.017619010215870957
-0.6666666666666667,-0.7,-0.02063766695606951
-0.6296296296296297,-0.7,0.0013532944279490734
-0.5925925925925926,-0.7,-0.020678237295839175
-0.5555555555555556,-0.7,-0.015969256215653503
-0.5185185185185186,-0.7,-0.001444259166755675
-0.4814814814814815,-0.7,-0.0030728922241734825
-0.4444444444444444,-0.7,-0.028777319752838863
-0.40740740740740744,-0.7,0.013582022862421954
-0.37037037037037046,-0.7,-0.008777377036519358
-0.33333333333333337,-0.7,0.0022099742142252365
-0.2962962962962963,-0.7,-0.006022246246884715
-0.2592592592592593,-0.7,0.01598299351015866
-0.22222222222222232,-0.7,-0.013579813470840484
-0.18518518518518523,-0.7,-0.016178578378799262
-0.14814814814814814,-0.7,0.0009813910292439457
-0.11111111111111116,-0.7,0.01736207807545307
-0.07407407407407418,-0.7,-0.0018645073759346392
-0.03703703703703709,-0.7,0.01373355506344091
0.0,-0.7,0.025431186708525805
0.03703703703703698,-0.7,-0.017491695607019873
0.07407407407407396,-0.7,0.026167252396295998
0.11111111111111116,-0.7,0.024142237408297382
0.14814814814814814,-0.7,0.001105512272842603
0.18518518518518512,-0.7,0.008916480947253093
0.2222222222222221,-0.7,0.003751426960648123
0.2592592592592591,-0.7,0.02412753596472393
0.2962962962962963,-0.7,0.003091641888699252
0.33333333333333326,-0.7,0.022626649551092715
0.37037037037037024,-0.7,0.03412487571391051
0.40740740740740744,-0.7,-0.012999058101987593
0.4444444444444444,-0.7,0.01974675656032305
0.4814814814814814,-0.7,0.01190728802473471
0.5185185185185184,-0.7,0.005190748469415777
0.5555555555555554,-0.7,0.018773435030731037
0.5925925925925926,-0.7,0.009549761548869539
0.6296296296296295,-0.7,-0.012543466472744777
0.6666666666666665,-0.7,0.0009117410198086762
0.7037037037037037,-0.7,0.008794925819766935
0.7407407407407407,-0.7,-0.0029558005636607532
0.7777777777777777,-0.7,-0.012710423038526413
0.8148148148148147,-0.7,0.043834770570634646
0.8518518518518516,-0.7,0.027714178644553618
0.8888888888888888,-0.7,0.02476495683795456
0.9259259259259258,-0.7,0.006195688758555786
0.9629629629629628,-0.7,-0.027241300567434096
1.0,-0.7,-0.0009575085450657453
-1.0,-0.674074074074074,-0.0014706922759162057
-0.962962962962963,-0.674074074074074,-0.017416611215715343
-0.9259259259259259,-0.674074074074074,-0.02055827685251376
-0.8888888888888888,-0.674074074074074,-0.007566100849010016
-0.8518518518518519,-0.674074074074074,0.018238827750078533
-0.8148148148148149,-0.674074074074074,-0.01001753826994422
-0.7777777777777778,-0.674074074074074,-0.013622972870877131
-0.7407407407407407,-0.674074074074074,-0.027248297682926755
-0.7037037037037037,-0.674074074074074,0.005937376864411897
-0.6666666666666667,-0.674074074074074,-0.012300692092659476
-0.6296296296296297,-0.674074074074074,-0.01834703565287464
-0.5925925925925926,-0.674074074074074,-0.02250365437843544
-0.5555555555555556,-0.674074074074074,-0.026670415938248065
-0.5185185185185186,-0.674074074074074,-0.014196404741767851
-0.4814814814814815,-0.674074074074074,0.013714301193481306
-0.4444444444444444,-0.674074074074074,-0.015595420083583288
-0.40740740740740744,-0.674074074074074,-0.007630912181142339
-0.37037037037037046,-0.674074074074074,-0.026190437520754332
-0.33333333333333337,-0.674074074074074,-0.008809258187906689
-0.2962962962962963,-0.674074074074074,-0.03358512024453476
-0.2592592592592593,-0.674074074074074,0.01143781496200202
-0.22222222222222232,-0.674074074074074,-0.01630640576563404
-0.18518518518518523,-0.674074074074074,0.0013524739467926546
-0.14814814814814814,-0.674074074074074,-0.0020043608529974827
-0.11111111111111116,-0.674074074074074,0.019903617485854216
-0.07407407407407418,-0.674074074074074,0.009683039107548419
-0.03703703703703709,-0.674074074074074,0.012726820922007068
0.0,-0.674074074074074,-0.018636427235683414
0.03703703703703698,-0.674074074074074,-0.008831040038713817
0.07407407407407396,-0.674074074074074,-0.007128713152220282
0.11111111111111116,-0.674074074074074,-0.00420569616345964
0.14814814814814814,-0.674074074074074,-0.0007373198444128506
0.18518518518518512,-0.674074074074074,0.02718887555064739
0.2222222222222221,-0.674074074074074,0.01403751242162315
0.2592592592592591,-0.674074074074074,0.01619637742440298
0.2962962962962963,-0.674074074074074,0.002944580062366026
0.33333333333333326,-0.674074074074074,0.0033175296780327997
0.37037037037037024,-0.674074074074074,-0.0026878195424436813
0.40740740740740744,-0.674074074074074,0.03381631915866874
0.4444444444444444,-0.674074074074074,0.019240876038871514
0.4814814814814814,-0.674074074074074,0.027970944033471924
0.5185185185185184,-0.674074074074074,0.020133011301643536
0.5555555555555554,-0.674074074074074,0.0021510542853744943
0.5925925925925926,-0.674074074074074,0.013956645635185169
0.6296296296296295,-0.674074074074074,-0.01825308958090932
0.6666666666666665,-0.674074074074074,0.023648093193663185
0.7037037037037037,-0.674074074074074,0.012389663534608207
0.7407407407407407,-0.674074074074074,0.014167522539059929
0.7777777777777777,-0.674074074074074,0.0113431958758275
0.8148148148148147,-0.674074074074074,0.01785475936505814
0.8518518518518516,-0.674074074074074,0.004127506102155818
0.8888888888888888,-0.674074074074074,0.007154037529053704
0.9259259259259258,-0.674074074074074,-0.004515024850178239
0.9629629629629628,-0.674074074074074,0.0012486906604320539
1.0,-0.674074074074074,0.00905469167820197
-1.0,-0.6481481481481481,0.0010622788054044305
-0.962962962962963,-0.6481481481481481,-0.019734278541854913
-0.9259259259259259,-0.6481481481481481,-0.036731411772192135
-0.8888888888888888,-0.6481481481481481,-0.0452348756808502
-0.8518518518518519,-0.6481481481481481,-0.022537777425269016
-0.8148148148148149,-0.6481481481481481,-0.031056332494604745
-0.7777777777777778,-0.6481481481481481,-0.01240663591383213
