filename,geometry,temperature,aspect_ratio,size,sat_mag,num_raw_points,num_diagram_points
geometry_oblate_T20_ar0p166667_size45.csv,oblate,20,0.166667,45,480767.837,5151,10201
geometry_oblate_T20_ar0p25_size45.csv,oblate,20,0.25,45,480767.837,5151,10201
geometry_oblate_T20_ar0p5_size45.csv,oblate,20,0.5,45,480767.837,5151,10201
geometry_oblate_T20_ar0p666667_size45.csv,oblate,20,0.666667,45,480767.837,5151,10201
geometry_oblate_T20_ar0p909091_size45.csv,oblate,20,0.909091,45,480767.837,5151,10201
geometry_prolate_T20_ar1p0_size45.csv,prolate,20,1.0,45,480767.837,5151,10201
geometry_prolate_T20_ar1p25_size45.csv,prolate,20,1.25,45,480767.837,5151,10201
geometry_prolate_T20_ar1p5_size45.csv,prolate,20,1.5,45,480767.837,5151,10201
geometry_prolate_T20_ar1p75_size45.csv,prolate,20,1.75,45,480767.837,5151,10201
geometry_prolate_T20_ar2p0_size45.csv,prolate,20,2.0,45,480767.837,5151,10201
geometry_prolate_T20_ar2p25_size45.csv,prolate,20,2.25,45,480767.837,5151,10201
geometry_prolate_T20_ar2p5_size45.csv,prolate,20,2.5,45,480767.837,5151,10201
geometry_prolate_T20_ar2p75_size45.csv,prolate,20,2.75,45,480767.837,5151,10201
geometry_prolate_T20_ar6p0_size45.csv,prolate,20,6.0,45,480767.837,5151,10201
geometry_prolate_T20_ar1p0_size50.csv,prolate,20,1.0,50,480767.837,5151,10201
geometry_prolate_T20_ar1p05_size50.csv,prolate,20,1.05,50,480767.837,5151,10201
geometry_prolate_T20_ar1p1_size50.csv,prolate,20,1.1,50,480767.837,5151,10201
geometry_prolate_T20_ar1p15_size50.csv,prolate,20,1.15,50,480767.837,5151,10201
geometry_prolate_T20_ar1p2_size50.csv,prolate,20,1.2,50,480767.837,5151,10201
geometry_prolate_T20_ar1p25_size50.csv,prolate,20,1.25,50,480767.837,5151,10201
geometry_prolate_T20_ar1p3_size50.csv,prolate,20,1.3,50,480767.837,5151,10201
geometry_prolate_T20_ar1p35_size50.csv,prolate,20,1.35,50,480767.837,5151,10201
geometry_prolate_T20_ar1p4_size50.csv,prolate,20,1.4,50,480767.837,5151,10201
geometry_prolate_T20_ar1p45_size50.csv,prolate,20,1.45,50,480767.837,5151,10201
geometry_prolate_T20_ar1p5_size50.csv,prolate,20,1.5,50,480767.837,5151,10201
geometry_prolate_T20_ar1p55_size50.csv,prolate,20,1.55,50,480767.837,5151,10201
geometry_prolate_T20_ar1p6_size50.csv,prolate,20,1.6,50,480767.837,5151,10201
